originregion_id,originregion_name,destinationregion_id,destinationregion_name,origin_iso,origin_name,destination_iso,destination_name,countryflow_2000,countryflow_2001,countryflow_2002,countryflow_2003,countryflow_2004,countryflow_2010,countryflow_2011,countryflow_2012,countryflow_2013,countryflow_2014,regionflow_2000,regionflow_2001,regionflow_2002,regionflow_2003,regionflow_2004,regionflow_2010,regionflow_2011,regionflow_2012,regionflow_2013,regionflow_2014
1,Vorarlberg,1,Vorarlberg,11,Vorarlberg inner,11,Vorarlberg inner,9611,2058,2852,1833,614,10700,2197,3188,2152,898,10999,2389,3284,2063,673,12170,2458,3614,2443,1015
1,Vorarlberg,1,Vorarlberg,11,Vorarlberg inner,12,Vorarlberg outer,638,147,201,100,29,686,101,212,135,61,10999,2389,3284,2063,673,12170,2458,3614,2443,1015
1,Vorarlberg,2,Tyrol,11,Vorarlberg inner,21,Tyrol inner,29,4,6,11,1,18,6,4,2,3,29,4,6,11,1,18,6,4,2,3
1,Vorarlberg,2,Tyrol,11,Vorarlberg inner,22,Tyrol outer,0,0,0,0,0,0,0,0,0,0,29,4,6,11,1,18,6,4,2,3
1,Vorarlberg,3,Salzburg,11,Vorarlberg inner,31,Salzburg inner,2,1,1,0,0,2,0,2,0,0,2,1,1,0,0,2,0,2,0,0
1,Vorarlberg,4,Upper Austria,11,Vorarlberg inner,41,Upper Austria inner,30,8,9,7,0,39,6,10,9,4,35,9,12,8,0,44,7,12,9,4
1,Vorarlberg,4,Upper Austria,11,Vorarlberg inner,42,Upper Austria outer,5,1,3,1,0,1,1,0,0,0,35,9,12,8,0,44,7,12,9,4
1,Vorarlberg,5,Lower Austria,11,Vorarlberg inner,51,Lower Austria inner,5,2,2,0,1,28,2,8,6,3,10,4,3,1,1,40,3,12,10,3
1,Vorarlberg,5,Lower Austria,11,Vorarlberg inner,52,Lower Austria outer,5,2,1,1,0,9,0,3,4,0,10,4,3,1,1,40,3,12,10,3
1,Vorarlberg,7,Burgenland,11,Vorarlberg inner,71,Burgenland inner,7,3,1,1,0,6,1,1,1,2,7,3,1,1,0,9,2,2,2,2
1,Vorarlberg,7,Burgenland,11,Vorarlberg inner,72,Burgenland outer,0,0,0,0,0,3,1,1,1,0,7,3,1,1,0,9,2,2,2,2
1,Vorarlberg,8,Styria,11,Vorarlberg inner,81,Styria inner,37,4,10,11,2,52,14,6,13,5,48,5,12,17,2,58,14,7,14,5
1,Vorarlberg,8,Styria,11,Vorarlberg inner,82,Styria outer,9,1,2,5,0,2,0,0,1,0,48,5,12,17,2,58,14,7,14,5
1,Vorarlberg,9,Carinthia,11,Vorarlberg inner,91,Carinthia inner,42,3,9,8,7,19,2,3,5,2,51,3,11,10,10,38,3,7,12,4
1,Vorarlberg,9,Carinthia,11,Vorarlberg inner,92,Carinthia outer,6,0,2,2,1,18,0,4,7,2,51,3,11,10,10,38,3,7,12,4
1,Vorarlberg,21,Vienna,11,Vorarlberg inner,211,Vienna inner,534,143,259,66,19,825,367,270,83,29,602,156,286,78,22,898,392,291,96,34
1,Vorarlberg,21,Vienna,11,Vorarlberg inner,212,Vienna outer,36,5,12,8,2,33,6,9,8,4,602,156,286,78,22,898,392,291,96,34
1,Vorarlberg,22,Graz,11,Vorarlberg inner,221,Graz inner,78,24,36,5,5,121,43,39,13,11,107,30,45,9,7,142,51,44,16,12
1,Vorarlberg,22,Graz,11,Vorarlberg inner,222,Graz outer,18,2,6,3,2,12,3,2,3,1,107,30,45,9,7,142,51,44,16,12
1,Vorarlberg,23,Linz,11,Vorarlberg inner,231,Linz inner,31,7,10,6,3,31,13,10,3,0,39,11,11,8,4,53,16,18,8,1
1,Vorarlberg,23,Linz,11,Vorarlberg inner,232,Linz outer,6,2,1,2,1,19,3,6,4,1,39,11,11,8,4,53,16,18,8,1
1,Vorarlberg,24,Salzburg,11,Vorarlberg inner,241,Salzburg inner,49,7,20,8,5,63,18,18,12,3,57,8,23,9,6,75,18,22,16,4
1,Vorarlberg,24,Salzburg,11,Vorarlberg inner,242,Salzburg outer,4,1,2,1,0,9,0,3,3,1,57,8,23,9,6,75,18,22,16,4
1,Vorarlberg,25,Innsbruck,11,Vorarlberg inner,251,Innsbruck inner,216,67,104,19,7,460,337,78,22,9,242,75,112,24,7,513,372,88,24,13
1,Vorarlberg,25,Innsbruck,11,Vorarlberg inner,252,Innsbruck outer,11,0,3,4,0,15,3,5,1,4,242,75,112,24,7,513,372,88,24,13
1,Vorarlberg,26,Klagenfurt,11,Vorarlberg inner,261,Klagenfurt inner,23,7,9,1,1,17,5,2,3,0,32,7,11,6,3,22,6,4,4,1
1,Vorarlberg,26,Klagenfurt,11,Vorarlberg inner,262,Klagenfurt outer,9,0,2,5,2,4,1,1,1,1,32,7,11,6,3,22,6,4,4,1
1,Vorarlberg,30,rural rest,11,Vorarlberg inner,30,rural rest,1237,277,348,226,106,1160,217,319,226,128,1426,307,403,257,113,1338,249,373,254,152
1,Vorarlberg,1,Vorarlberg,12,Vorarlberg outer,11,Vorarlberg inner,675,165,204,122,28,695,147,191,139,52,10999,2389,3284,2063,673,12170,2458,3614,2443,1015
1,Vorarlberg,1,Vorarlberg,12,Vorarlberg outer,12,Vorarlberg outer,75,19,27,8,2,89,13,23,17,4,10999,2389,3284,2063,673,12170,2458,3614,2443,1015
1,Vorarlberg,2,Tyrol,12,Vorarlberg outer,21,Tyrol inner,0,0,0,0,0,0,0,0,0,0,29,4,6,11,1,18,6,4,2,3
1,Vorarlberg,3,Salzburg,12,Vorarlberg outer,31,Salzburg inner,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,0,2,0,0
